mmsi,total_records,first_seen,last_seen,duration_days,avg_latitude,avg_longitude,avg_speed_knots,min_speed_knots,max_speed_knots,avg_course
231800000,530,2025-03-17 00:59:29.841000+00:00,2025-03-19 02:36:39.978000+00:00,2.07,60.1135,5.4622,11.5,10.3,13.0,194.8
636092635,529,2024-11-15 23:47:37.477000+00:00,2024-11-24 08:07:45.989000+00:00,8.35,61.1343,5.0218,14.51,12.9,16.4,181.1
259883000,529,2024-11-29 03:52:52.852000+00:00,2024-11-29 13:38:03.482000+00:00,0.41,61.1304,5.0225,9.14,7.3,11.2,202.1
230942970,525,2024-11-19 03:39:25.149000+00:00,2024-11-19 05:08:26.146000+00:00,0.06,61.1347,5.0215,4.06,3.0,4.9,182.0
257012200,523,2025-03-10 21:51:36.172000+00:00,2025-03-11 03:33:35.148000+00:00,0.24,60.1274,5.4304,7.28,0.2,8.8,181.7
257230500,519,2024-12-28 04:40:45.540000+00:00,2025-01-03 13:37:43.532000+00:00,6.37,61.1327,5.0227,9.22,8.6,9.8,211.5
258571000,519,2024-12-31 10:13:50.597000+00:00,2025-01-15 17:01:49.419000+00:00,15.28,61.132,5.0227,9.19,7.8,10.6,221.6
257658900,519,2025-03-05 00:54:35.794000+00:00,2025-03-27 10:39:34.206000+00:00,22.41,60.0319,5.2335,8.98,0.0,15.8,205.5
257098540,516,2024-10-07 20:11:40.224000+00:00,2024-10-07 21:40:30.098000+00:00,0.06,61.094,5.0212,7.3,6.9,7.9,190.4
257090730,515,2025-02-26 15:36:15.762000+00:00,2025-02-26 17:04:05.795000+00:00,0.06,60.028,5.3475,9.56,8.9,10.2,154.2
258217000,514,2025-03-15 13:31:58.262000+00:00,2025-03-20 11:54:20.087000+00:00,4.93,59.994,5.2154,8.06,0.0,13.2,205.1
257602000,514,2025-03-26 23:46:33.179000+00:00,2025-03-27 01:12:51.985000+00:00,0.06,60.0256,5.3513,9.9,9.4,10.4,155.6
259522000,514,2025-02-08 09:02:17.317000+00:00,2025-02-10 13:45:04.883000+00:00,2.2,61.1346,5.0212,8.59,7.5,10.0,211.1
257011500,513,2024-09-05 05:59:34.350000+00:00,2024-09-05 15:05:42.558000+00:00,0.38,61.118,5.0203,10.56,9.3,11.8,196.8
257226500,512,2024-09-23 08:33:28.251000+00:00,2024-10-02 06:49:59.323000+00:00,8.93,61.1343,5.0231,9.52,8.4,10.2,232.8
305299000,511,2024-10-10 03:53:03.659000+00:00,2024-10-23 12:59:44.776000+00:00,13.38,61.1315,5.0224,14.02,11.6,15.4,211.4
304146000,499,2024-10-05 10:53:44.233000+00:00,2024-10-26 23:10:29.974000+00:00,21.51,61.1342,5.0218,8.99,7.6,10.2,181.1
319058900,498,2024-09-03 15:50:54.155000+00:00,2024-09-03 16:45:03.097000+00:00,0.04,61.1257,5.0806,11.43,10.1,13.2,179.9
259704000,496,2025-03-19 13:57:56.295000+00:00,2025-03-19 15:30:44.698000+00:00,0.06,60.0284,5.3467,9.06,8.3,9.7,154.9
258153000,495,2024-11-19 02:41:36.787000+00:00,2024-11-23 03:32:33.682000+00:00,4.04,61.135,5.0222,11.27,8.7,14.0,218.4
311001499,495,2024-12-01 13:40:48.316000+00:00,2025-01-25 01:30:15.661000+00:00,54.49,61.1335,5.0223,9.55,8.9,10.4,181.3
219000035,495,2025-03-12 17:57:55.182000+00:00,2025-03-12 19:25:15.591000+00:00,0.06,60.0314,5.3518,9.68,9.1,10.4,322.8
538004905,495,2025-03-28 01:34:38.680000+00:00,2025-03-28 03:52:27.927000+00:00,0.1,60.0328,5.3485,5.98,4.6,7.3,158.2
257863000,494,2025-03-02 14:36:12.103000+00:00,2025-03-16 12:36:38.247000+00:00,13.92,60.1152,5.4415,8.44,8.2,9.0,207.2
244140388,492,2025-03-21 00:31:31.691000+00:00,2025-03-21 01:57:01.991000+00:00,0.06,60.0315,5.346,9.8,9.0,12.2,156.1
257013000,482,2025-01-24 21:42:25.952000+00:00,2025-01-24 22:51:46.591000+00:00,0.05,61.1361,5.0754,8.38,7.4,10.0,172.7
325314700,481,2024-10-27 08:58:21.211000+00:00,2024-12-10 09:10:50.304000+00:00,44.01,61.1327,5.0227,10.17,9.0,11.3,224.1
257990600,481,2024-10-29 11:56:53.220000+00:00,2024-10-29 13:17:24.195000+00:00,0.06,61.0992,5.0654,8.69,6.1,9.7,187.4
257136000,480,2024-08-14 18:12:05.748000+00:00,2025-01-13 15:56:20.828000+00:00,151.91,61.1292,5.0237,13.72,12.5,14.4,231.4
314191000,480,2024-11-16 15:15:43.935000+00:00,2024-11-16 15:55:03.314000+00:00,0.03,61.1329,5.0239,9.45,8.9,10.2,237.8
257032830,480,2025-02-21 09:45:28.430000+00:00,2025-02-24 10:34:29.144000+00:00,3.03,61.1332,5.0222,9.49,8.7,10.6,216.0
257915600,478,2024-10-10 12:55:44.369000+00:00,2025-03-28 08:50:39.339000+00:00,168.83,61.1411,5.021,16.46,0.6,20.1,241.7
308654000,477,2024-11-25 21:27:38.492000+00:00,2024-12-16 03:39:27.593000+00:00,20.26,61.1326,5.0225,16.83,15.1,18.4,182.4
257428000,476,2025-01-30 06:28:37.425000+00:00,2025-01-30 22:23:56.919000+00:00,0.66,61.1331,5.0221,9.59,7.6,11.2,224.6
257327000,474,2025-03-27 11:45:13.219000+00:00,2025-03-30 18:08:11.224000+00:00,3.27,60.0751,5.2617,12.27,7.7,15.9,230.7
236385000,474,2024-10-17 15:07:24.124000+00:00,2025-02-21 18:29:18.904000+00:00,127.14,61.1354,5.0219,9.53,8.3,10.3,181.4
